url,title
https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B08L5NZHK6/ref=sr_1_1?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-1,"New Apple iPhone 12 (64GB, Black) [Locked] + Carrier Subscription"
https://www.amazon.com/Google-Pixel-4a-Unlocked-Smartphone/dp/B08CFSZLQ4/ref=sr_1_17?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-17,"







Google Pixel 4a - New Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black






"
https://www.amazon.com/Samsung-Factory-Unlocked-Smartphone-Pro-Grade/dp/B08FYVMRM5/ref=sr_1_11?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-11,"







Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Mint Green






"
https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B084GT5HWY/ref=sr_1_15?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-15,"Apple iPhone 11 Pro Max [256GB, Silver] + Carrier Subscription [Cricket Wireless]"
https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B084GSYMNJ/ref=sr_1_16?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-16,"Apple iPhone 11 [256GB, Purple] + Carrier Subscription [Cricket Wireless]"
https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256/dp/B07TJBCC7H/ref=sr_1_13?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-13,"







Apple iPhone XS, 256GB , Space Gray - Fully Unlocked (Renewed)






"
https://www.amazon.com/Samsung-Unlocked-Fingerprint-Recognition-Long-Lasting/dp/B082XXKZRC/ref=sr_1_14?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-14,"







Samsung Galaxy S20 5G Factory Unlocked New Android Cell Phone US Version, 128GB of Storage, Fingerprint ID and Facial Recognition, Long-Lasting Battery, Cloud Blue






"
https://www.amazon.com/OnePlus-Unlocked-Android-Smartphone-Wireless/dp/B08723FJMF/ref=sr_1_12?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-12,"







OnePlus 8 Pro Onyx Black,​ 5G Unlocked Android Smartphone U.S Version, 12GB RAM+256GB Storage, 120Hz Fluid Display,Quad Camera, Wireless Charge, with Alexa Built-in






"
https://www.amazon.com/Apple-iPhone-Pacific-Carrier-Subscription/dp/B08L5NJG62/ref=sr_1_7?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-7,"New Apple iPhone 12 Pro (256GB, Pacific Blue) [Locked] + Carrier Subscription"
https://www.amazon.com/Apple-iPhone-Graphite-Carrier-Subscription/dp/B08L5R1CCC/ref=sr_1_6?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-6,"New Apple iPhone 12 Pro Max (128GB, Graphite) [Locked] + Carrier Subscription"
https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B08L5P8HPN/ref=sr_1_4?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-4,"New Apple iPhone 12 mini (64GB, Blue) [Locked] + Carrier Subscription"
https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B08L5PN9K8/ref=sr_1_3?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-3,"New Apple iPhone 12 (256GB, White) [Locked] + Carrier Subscription"
https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B08L5NKQSQ/ref=sr_1_5?dchild=1&keywords=iphone+12&qid=1606724389&sr=8-5,"New Apple iPhone 12 mini (128GB, White) [Locked] + Carrier Subscription"
