url,reviews
https://www.amazon.com/Google-Pixel-4a-Unlocked-Smartphone/dp/B08CFSZLQ4/ref=sr_1_19?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-19,"Got the Basics Down,Pros: Headphone jack, unlocakble bootloader, minimal bloatware. Cons: Almost everything else.,Decent quality, good price, but read why.,Fantastic! Go Buy it!"
https://www.amazon.com/Samsung-Unlocked-Fingerprint-Recognition-Long-Lasting/dp/B082XXKZRC/ref=sr_1_16?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-16,"Gives my wife a new voice,Great Phone for me,Horrible product,Teléfono increíble!!!! pero menos la batería.,The fingerprint reader failed after 5 days,I mean its a great phone,My Lady loves this handset,super sweet phone!!"
https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256/dp/B07TJBCC7H/ref=sr_1_15?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-15,"Honestly, it was worth it,Eh wouldn’t buy again,Phone not working,Did not come with EarPods and Adapter,May be defective one,WISH I COULD GIVE THEM ZERO,I recieved the xs MAX, not the xs like advertised.,Beautiful, lovely, practically brand new iPhone XS!"
https://www.amazon.com/Apple-iPhone-Pro-64GB-Gold/dp/B07ZQSNZ56/ref=sr_1_12?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-12,"Check the phone anything,Deep scratch on screen,not FULLY UNLOCKED,Phone is A++ Would buy again,I did not like the product and had to return it,The phone is basically brand new with no faults or scratches,Works great!,Great phone"
https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B084GT5HWY/ref=sr_1_17?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-17,"Good phone,phone not working I will cancell payment and make no further purchasses,Beyond Satisfied!,:c,Really solid phone,Scam,I had no problems with it.,It was not my best perchase"
https://www.amazon.com/OnePlus-Unlocked-Android-Smartphone-Wireless/dp/B08723FJMF/ref=sr_1_14?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-14,"Best Flagship For The Money,A supurb flagship - - - INFORMATION ON ALEXA BELOW,Moving from 3T to 8Pro,Dual-SIM false advertisement,Good phone with some display issues .,Beautiful 😁,Colors, Alexa, carriers.  What a mess."
https://www.amazon.com/Apple-iPhone-Pacific-Carrier-Subscription/dp/B08L5NJG62/ref=sr_1_8?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-8,"The Pros, Cons and Oks for Apple's iPhone 12 Pro (HR).,why is it only for cricket carrier??,Don’t get it booooooooottyyy cheeks,Scam,A perfect phone without needed accessories.,BIG DISAPPOINTMENT,Great Phone,Amazing"
https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B084GSYMNJ/ref=sr_1_18?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-18,"Fraudulent!! Do not waste your time or money purchasing this phone,👍🏽,Awesome phone!,Carrier,Great phone,great,good,Good"
https://www.amazon.com/Samsung-Factory-Unlocked-Smartphone-Pro-Grade/dp/B08FYVMRM5/ref=sr_1_13?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-13,"It's just OK,My Review of the S20 FE,Happy for the price I paid,Best Midrange phone,not happy about the phone,Bait & Switch?,Great phone at a great price,Cheap-o phone for sure, but still alright"
https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=sr_1_9?dchild=1&keywords=iphone+12&qid=1606725574&sr=8-9,"The Best out there?,no phone,Slow and Frustrating,Flagship fail (not really, it just doesn't like magnets),the charger only worked for two hours."
